,FIPS_State,FIPS_County,NumAllAge,NumAllAge90%lb,NumAllAge90%ub,PercentAllAge,PercentAllAge90%lb,PercentAllAge90%ub,Num0-17_,Num0-17_90%lb,Num0-17_90%ub,Percent0-17_,Percent0-17_90%lb,Percent0-17_90%ub,NumRelCh5-17_,NumRelCh5-17_90%lb,NumRelCh5-17_90%ub,PercentRelCh5-17_,PercentRelCh5-17_90%lb,PercentRelCh5-17_90%ub,MedHouseInc,MedHouseInc90%lb,MedHouseInc90%ub,County_Name
138,48,277,9653,8245,11061,19.6,16.7,22.5,3137,2443,3831,26.9,20.9,32.9,2256,1744,2768,26.6,20.6,32.6,44688,40217,49159,Lamar County 
139,48,279,2200,1654,2746,17.6,13.2,22.0,837,564,1110,24.5,16.5,32.5,581,387,775,22.7,15.1,30.3,48123,41112,55134,Lamb County 
140,48,281,2159,1527,2791,10.0,7.1,12.9,830,548,1112,18.0,11.9,24.1,607,398,816,17.4,11.4,23.4,69051,61844,76258,Lampasas County 
141,48,283,1402,1017,1787,24.0,17.4,30.6,397,257,537,28.3,18.3,38.3,295,188,402,29.6,18.9,40.3,45647,38411,52883,La Salle County
142,48,285,2086,1519,2653,10.6,7.7,13.5,677,445,909,14.5,9.5,19.5,517,337,697,14.9,9.7,20.1,57999,50242,65756,Lavaca County 
143,48,287,1798,1335,2261,10.6,7.9,13.3,525,350,700,15.0,10.0,20.0,382,250,514,15.5,10.1,20.9,61444,52478,70410,Lee County 
144,48,289,2395,1846,2944,13.8,10.6,17.0,695,454,936,17.9,11.7,24.1,524,344,704,18.2,12.0,24.4,52878,45609,60147,Leon County 
145,48,291,12444,9488,15400,14.4,11.0,17.8,5012,3404,6620,20.0,13.6,26.4,3493,2356,4630,19.1,12.9,25.3,61230,54168,68292,Liberty County 
146,48,293,3647,2818,4476,16.8,13.0,20.6,983,628,1338,19.7,12.6,26.8,709,449,969,19.5,12.3,26.7,53143,47902,58384,Limestone County 
147,48,295,348,258,438,11.3,8.4,14.2,113,76,150,14.8,9.9,19.7,81,53,109,13.8,9.1,18.5,67775,58407,77143,Lipscomb County 
